Melhor Fitness,Mutação,Cruzamento,População,Gerações
0.4995819462101889,0.01,0.6,25,25
0.14837328929753157,0.01,0.6,25,50
0.042084457104256234,0.01,0.6,25,100
0.008238042712335858,0.01,0.6,50,25
9.975171277876171e-06,0.01,0.6,50,50
0.00010833522946684937,0.01,0.6,50,100
0.000995672108239365,0.01,0.6,100,25
0.004319949914247889,0.01,0.6,100,50
0.00030136783004808265,0.01,0.6,100,100
0.09139586440326442,0.01,0.8,25,25
0.22239554512224702,0.01,0.8,25,50
0.01986914863357514,0.01,0.8,25,100
0.004051963473298503,0.01,0.8,50,25
0.11037286206869057,0.01,0.8,50,50
0.020590464399245167,0.01,0.8,50,100
0.0030407922917992103,0.01,0.8,100,25
0.0019903655382091934,0.01,0.8,100,50
0.0005773190060982536,0.01,0.8,100,100
0.2064058651301406,0.01,1.0,25,25
0.08308839393834377,0.01,1.0,25,50
0.07852813467089037,0.01,1.0,25,100
0.17831647991896604,0.01,1.0,50,25
0.07307157412632082,0.01,1.0,50,50
0.018762004016001033,0.01,1.0,50,100
0.03717449651673066,0.01,1.0,100,25
3.938768970090933e-06,0.01,1.0,100,50
0.19009053681179156,0.01,1.0,100,100
0.09723823348332461,0.05,0.6,25,25
0.09761710722175154,0.05,0.6,25,50
0.03192822664426176,0.05,0.6,25,100
0.02023222799476132,0.05,0.6,50,25
0.09416246093639602,0.05,0.6,50,50
0.025087009194550536,0.05,0.6,50,100
0.08406138788166162,0.05,0.6,100,25
0.00514066323429363,0.05,0.6,100,50
0.0005782284643101043,0.05,0.6,100,100
0.03479647168612532,0.05,0.8,25,25
0.029537026327976168,0.05,0.8,25,50
0.015011765866070892,0.05,0.8,25,100
0.031381897465430075,0.05,0.8,50,25
0.029741187991540574,0.05,0.8,50,50
0.004414946227495609,0.05,0.8,50,100
0.01780970963622197,0.05,0.8,100,25
0.015544796975938358,0.05,0.8,100,50
0.0015182703671396958,0.05,0.8,100,100
1.217109456344247,0.05,1.0,25,25
0.04318351997217862,0.05,1.0,25,50
0.008686126078619072,0.05,1.0,25,100
0.017828474812799033,0.05,1.0,50,25
0.023824725655949397,0.05,1.0,50,50
0.0419897578759465,0.05,1.0,50,100
0.021342968204721036,0.05,1.0,100,25
0.018366940331525416,0.05,1.0,100,50
0.010571019717762642,0.05,1.0,100,100
0.11457558844530924,0.1,0.6,25,25
0.03586794847405317,0.1,0.6,25,50
0.021615767912031902,0.1,0.6,25,100
0.00302519082825059,0.1,0.6,50,25
0.0019504198376236737,0.1,0.6,50,50
0.013438926495223047,0.1,0.6,50,100
0.08210904009233433,0.1,0.6,100,25
0.02406344955671047,0.1,0.6,100,50
2.5784192954070306e-06,0.1,0.6,100,100
0.005846014697315827,0.1,0.8,25,25
0.02161961673417112,0.1,0.8,25,50
0.049088816148799896,0.1,0.8,25,100
0.024937954326266,0.1,0.8,50,25
0.0454187983412635,0.1,0.8,50,50
0.015810355648842478,0.1,0.8,50,100
0.002392933772061401,0.1,0.8,100,25
0.0001915914072836422,0.1,0.8,100,50
0.0060580713855000745,0.1,0.8,100,100
0.0010319679553494332,0.1,1.0,25,25
0.023518979670300144,0.1,1.0,25,50
0.0014420787758280262,0.1,1.0,25,100
0.0026335418226826057,0.1,1.0,50,25
0.0001376812976556785,0.1,1.0,50,50
0.00030187292813765865,0.1,1.0,50,100
0.00017765486891052618,0.1,1.0,100,25
0.0003511152422146502,0.1,1.0,100,50
7.008326064239512e-05,0.1,1.0,100,100
