Operador,População,Mutação,Seleção,Melhor,Média,Desvio
OX,100,0.01,torneio,299.0,317.4,14.38054240979804
CX,100,0.01,torneio,315.0,349.4,30.851256052225814
OX,100,0.01,roleta,303.0,350.8,31.019348800385863
CX,100,0.01,roleta,332.0,358.6,19.43707796969493
OX,100,0.05,torneio,291.0,313.4,20.89976076418101
CX,100,0.05,torneio,291.0,312.4,27.52816739269071
OX,100,0.05,roleta,327.0,346.6,25.38306522073329
CX,100,0.05,roleta,328.0,338.8,13.754999091239519
OX,200,0.01,torneio,291.0,316.0,15.652475842498529
CX,200,0.01,torneio,291.0,311.8,19.05780679931455
OX,200,0.01,roleta,313.0,332.2,16.87305544351704
CX,200,0.01,roleta,321.0,339.6,14.135062787267696
OX,200,0.05,torneio,291.0,318.8,17.527121840165314
CX,200,0.05,torneio,291.0,320.4,26.34008352302627
OX,200,0.05,roleta,327.0,347.2,14.096098751072937
CX,200,0.05,roleta,291.0,322.2,19.967473550752484
